Identifier,Crime Type,Date/Time,Address,Agency
13077420,Theft from Vehicle,12/9/13 20:11,300 Block S ELLSWORTH AV,San Mateo Police Department
13077418,Breaking & Entering,12/9/13 20:02,800 Block N HUMBOLDT ST,San Mateo Police Department
13077415,Breaking & Entering,12/9/13 19:50,600 Block N SAN MATEO DR,San Mateo Police Department
13077412,Theft from Vehicle,12/9/13 19:42,800 Block S B ST,San Mateo Police Department
13077380,Sexual Assault,12/9/13 17:29,2000 Block ALAMEDA DE LAS PULGAS,San Mateo Police Department
13077375,Theft,12/9/13 17:06,500 Block MADERA DR,San Mateo Police Department
13077368,Breaking & Entering,12/9/13 16:29,600 Block N SAN MATEO DR,San Mateo Police Department
13077337,Theft from Vehicle,12/9/13 14:05,200 Block 8TH AV,San Mateo Police Department
13077327,Theft,12/9/13 13:24,2900 Block S NORFOLK ST,San Mateo Police Department
13077292,Theft,12/9/13 10:17,200 Block PRAGUE ST,San Mateo Police Department
13077287,Theft,12/9/13 9:26,2100 Block VISTA DEL MAR,San Mateo Police Department
13077284,Theft,12/9/13 9:20,1600 Block PECK AV,San Mateo Police Department
13077282,Theft,12/9/13 9:16,600 Block OREGON AV,San Mateo Police Department
13077280,Theft,12/9/13 9:12,1800 Block S GRANT ST,San Mateo Police Department
13077279,Theft,12/9/13 9:09,4000 Block S EL CAMINO REAL,San Mateo Police Department
13077275,Theft,12/9/13 8:38,300 Block N AMPHLETT BLVD,San Mateo Police Department
13077271,Theft,12/9/13 8:16,1200 Block SHAFTER ST,San Mateo Police Department
13077144,Breaking & Entering,12/8/13 15:32,4000 Block BAYVIEW AV,San Mateo Police Department
13077118,Breaking & Entering,12/8/13 12:25,100 Block E 3RD AV,San Mateo Police Department
201303060,Theft,12/8/13 0:00,1100 Block HOWARD AV,Burlingame Police Department
13076990,Theft,12/7/13 20:49,1700 Block S DELAWARE ST,San Mateo Police Department
13076956,Theft,12/7/13 18:36,E SAILER DR,San Mateo Police Department
13076943,Theft of Vehicle,12/7/13 18:07,1700 Block DEWEY ST,San Mateo Police Department
13076914,Theft from Vehicle,12/7/13 15:47,1600 Block COYOTE POINT DR,San Mateo Police Department
13076899,Assault,12/7/13 14:37,2100 Block S EL CAMINO REAL,San Mateo Police Department
13076859,Breaking & Entering,12/7/13 10:09,2200 Block S DELAWARE ST,San Mateo Police Department
201303051,Assault,12/7/13 0:00,200 Block PARK RD,Burlingame Police Department
201303072,Theft,12/7/13 0:00,1400 Block DESOTO AV,Burlingame Police Department
13076646,Assault,12/6/13 11:35,1000 Block SHORELINE DR,San Mateo Police Department
13076639,Theft,12/6/13 10:53,2200 Block BRIDGEPOINTE PKY,San Mateo Police Department
13076628,Theft from Vehicle,12/6/13 10:11,400 Block N BAYSHORE BLVD,San Mateo Police Department
201303135,Theft,12/6/13 0:00,1500 Block HOWARD AV,Burlingame Police Department
13076399,Theft,12/5/13 11:50,100 Block N HUMBOLDT ST,San Mateo Police Department
13076358,Theft,12/5/13 8:11,100 Block S SAN MATEO DR,San Mateo Police Department
13076357,Theft,12/5/13 8:08,1700 Block HEMLOCK AV,San Mateo Police Department
13076356,Theft,12/5/13 8:06,1700 Block LAKE ST,San Mateo Police Department
201303029,Theft,12/5/13 0:00,1100 Block BURLINGAME AV,Burlingame Police Department
201303032,Theft of Vehicle,12/5/13 0:00,1 Block HIGHLAND AV,Burlingame Police Department
13076289,Assault,12/4/13 20:03,100 Block N EL CAMINO REAL,San Mateo Police Department
13076230,Theft,12/4/13 15:30,900 Block MARINERS ISLAND BLVD,San Mateo Police Department
13076224,Theft,12/4/13 15:13,1800 Block S GRANT ST,San Mateo Police Department
13076215,Theft,12/4/13 14:19,2100 Block STRATFORD WAY,San Mateo Police Department
13076204,Robbery,12/4/13 12:46,1 Block AV &S B ST,San Mateo Police Department
13076171,Theft of Vehicle,12/4/13 10:15,300 Block CATALPA ST,San Mateo Police Department
13076147,Theft,12/4/13 8:05,1600 Block S EL CAMINO REAL,San Mateo Police Department
13076146,Theft,12/4/13 8:00,400 Block WESTMORLAND AV,San Mateo Police Department
13076121,Theft of Vehicle,12/3/13 23:53,E 3RD AV &S SAN MATEO DR,San Mateo Police Department
13076070,Theft,12/3/13 19:32,800 Block S HUMBOLDT ST,San Mateo Police Department
13076038,Theft,12/3/13 17:05,2100 Block STRATFORD WAY,San Mateo Police Department
13076022,Sexual Assault,12/3/13 16:13,KEHOE AV &S NORFOLK ST,San Mateo Police Department
13075982,Theft,12/3/13 12:33,2200 Block BRIDGEPOINTE PKY,San Mateo Police Department
13075973,Theft of Vehicle,12/3/13 11:19,800 Block N IDAHO ST,San Mateo Police Department
13075932,Theft from Vehicle,12/3/13 7:40,1 Block E 3RD AV,San Mateo Police Department
13075850,Sexual Assault,12/2/13 18:31,1100 Block YATES WAY,San Mateo Police Department
13075816,Theft,12/2/13 15:00,4000 Block S EL CAMINO REAL,San Mateo Police Department
13075813,Theft,12/2/13 14:39,300 Block GEORGETOWN AV,San Mateo Police Department
